id_partido,equipo,titular,dorsal,nombre,minutos,puntos,T2,T2 %,T3,T3 %,T1,T1 %,rebotes_defensivos,rebotes_ofensivos,rebotes_totales,asistencias,robos,perdidas,C,tapones_favor,tapones_contra,mates,faltas_cometidas,faltas_recibidas,+/-,V
103798,Baskonia,,0,M. Howard,16:13,19,1/1,100%,5/10,50%,2/2,100%,0,0,0,0,0,2,0,0,1,0,3,1,17,9
103798,Baskonia,*,1,N. Mannion,02:06,0,0/0,0%,0/0,0%,0/0,0%,0,0,0,0,1,1,0,0,0,0,0,0,2,0
103798,Baskonia,,2,S. Raieste,08:47,0,0/0,0%,0/0,0%,0/0,0%,1,0,1,0,0,0,0,0,0,0,3,0,8,-2
103798,Baskonia,,3,C. Chiozza,09:17,2,1/1,100%,0/2,0%,0/0,0%,1,0,1,1,0,0,0,0,0,0,1,0,-2,1
103798,Baskonia,*,8,T. Sedekerskis,24:14,0,0/0,0%,0/2,0%,0/0,0%,2,1,3,2,0,0,0,1,0,0,1,1,-1,4
103798,Baskonia,*,9,V. Marinkovic,20:40,17,3/4,75%,3/5,60%,2/3,67%,3,0,3,0,0,3,7,0,0,0,2,4,5,15
103798,Baskonia,,10,Miller-McIntyre,29:42,7,2/2,100%,1/4,25%,0/2,0%,1,0,1,4,2,3,0,0,0,0,4,2,5,4
103798,Baskonia,,11,D. Díez,15:26,6,1/1,100%,1/2,50%,1/2,50%,0,1,1,1,1,0,0,0,0,0,1,1,-7,7
103798,Baskonia,*,17,N.Rogkavopoulos,15:54,0,0/3,0%,0/0,0%,0/0,0%,4,2,6,1,0,0,0,0,0,0,0,1,13,5
103798,Baskonia,,18,K. Diop,05:29,4,2/5,40%,0/0,0%,0/0,0%,0,2,2,0,0,1,0,0,0,1,2,0,2,0
103798,Baskonia,*,21,M. Kotsar,25:31,10,4/6,67%,0/0,0%,2/2,100%,2,1,3,3,2,1,2,0,0,1,0,3,-3,18
103798,Baskonia,,95,C. Moneke,26:41,29,5/9,56%,0/2,0%,19/22,86%,10,2,12,2,2,3,2,1,1,1,2,11,21,42
103798,Zunder Palencia,,0,Y. Franke,22:02,16,3/6,50%,1/6,17%,7/7,100%,1,0,1,3,0,2,0,0,0,0,4,6,-5,12
103798,Zunder Palencia,*,2,G. Whittington,18:01,13,2/2,100%,2/4,50%,3/4,75%,4,0,4,1,1,1,2,0,0,1,5,2,19,12
103798,Zunder Palencia,,3,M. Haarms,13:16,10,5/6,83%,0/1,0%,0/0,0%,1,1,2,0,0,0,0,0,0,1,0,0,-8,10
103798,Zunder Palencia,*,5,C. Ortega,24:11,12,2/3,67%,2/5,40%,2/2,100%,3,3,6,3,2,2,3,0,1,0,3,1,-8,14
103798,Zunder Palencia,*,6,Van der Vuurst,22:47,8,1/2,50%,2/5,40%,0/0,0%,3,0,3,3,0,3,0,0,0,0,1,0,2,6
103798,Zunder Palencia,,7,B. Brown,18:58,3,0/5,0%,1/5,20%,0/0,0%,1,0,1,1,1,1,0,0,1,0,1,2,-19,-4
